id,alias
1,gallery/list
2,gallery/bytag
3,gallery/onetag
4,admin/login
5,admin/error
6,admin/tag/list
7,admin/tag/add
8,admin/tag/edit
9,admin/gallery/list
10,admin/gallery/add
11,admin/gallery/crop
12,admin/gallery/result
13,admin/gallery/edit
14,admin/gallery/editimage
15,bio/index
16,error/403
17,error/404
18,error/500
