id,title,description,link,role,image,post_date,modify_date,order
1,PHP-UTF-8,A library for UTF-8 in PHP providing UTF-8 aware functions to mirror PHP's own string functions. Fork of FSX/php-utf8.,https://github.com/corpsee/php-utf-8,Developer,"",2015-06-07 14:10:50,2015-06-07 14:10:50,0
2,PHPell,Vagrant VM with bash(shell) provision scripts for PHP development.,https://github.com/corpsee/phpell,Developer,"",2015-06-07 14:10:50,2015-06-07 14:10:50,0
3,Nameless debug,"Simple and independent debug component compliant with PSR-1, PSR-2, PSR-4 and Composer for PHP 5.4+.",https://github.com/corpsee/nameless-debug,Developer,nameless_debug,2015-06-07 14:10:50,2015-10-10 12:30:34,0
4,PHP application sample,"Sample of PHP application/library compliant with PSR-1, PSR-2, PSR-4 and Composer for PHP 5.4+.",https://github.com/corpsee/php-application-sample,Developer,"",2015-06-07 14:10:50,2015-06-07 14:10:50,0
5,PHP Censor,Open source self-hosted continuous integration server for PHP projects (Fork of PHPCI),https://github.com/corpsee/php-censor,Developer,php_censor,2015-06-07 14:10:50,2017-03-03 02:56:53,10
6,Nameless utilities,"Utilities compliant with PSR-1, PSR-2, PSR-4 and Composer for PHP 5.4+.",https://github.com/corpsee/nameless-utilities,Developer,"",2015-10-11 11:23:27,2015-10-11 11:23:27,0
7,PHPCI,Free and open source continuous integration tool specifically designed for PHP,https://www.phptesting.org,Contributor,phpci,2017-03-03 02:55:30,2017-03-03 02:57:00,9
