id,picture_id,tag_id
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,1
12,12,1
13,13,1
14,14,1
15,15,1
16,16,1
17,17,1
18,18,1
19,19,1
20,20,1
21,21,1
22,22,1
23,23,1
24,24,1
25,25,1
26,26,1
27,27,1
28,28,1
29,29,1
30,30,1
31,31,1
32,32,1
33,33,1
34,34,1
35,35,1
36,36,1
37,37,1
38,35,2
39,26,2
40,30,2
41,27,2
42,29,2
43,24,2
44,21,2
45,15,2
46,16,2
47,8,2
48,27,3
49,29,3
50,24,3
51,15,3
52,5,3
53,21,4
54,20,4
55,19,4
56,18,4
57,2,5
58,10,5
59,13,5
60,22,5
70,25,5
71,28,5
72,32,5
73,34,5
74,33,5
75,31,5
76,31,6
77,25,6
78,22,6
79,4,6
80,36,6
81,21,7
82,36,8
83,37,9
84,37,10
